Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),35.4,,,30.1,41.2,114920,,,
2018,MS,Mississippi,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),35.2,,,28.4,42.7,61199,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),33.3,,,28.1,38.9,190827,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),33.8,,,23.8,45.3,80699,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),29.6,,,23.5,36.6,172478,,,
2018,MO,Missouri,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),35.5,,,26.2,46.1,85069,,,
2018,MT,Montana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),25.5,,,20.1,31.8,20088,,,
2018,MT,Montana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),18.7,,,11.9,28.1,9745,,,
2018,MT,Montana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),23.4,,,15.6,33.5,15853,,,
2018,MT,Montana,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),26.5,,,16.7,39.4,7738,,,
2018,NE,Nebraska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),32.1,,,27.9,36.6,39724,,,
2018,NE,Nebraska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),20.8,,,15.2,27.8,12475,,,
2018,NE,Nebraska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),26.3,,,21.3,32,29216,,,
2018,NE,Nebraska,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),29.4,,,22,38.1,14358,,,
2018,NV,Nevada,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),25.3,,,19.2,32.6,76372,,,
2018,NV,Nevada,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),22.8,,,13.6,35.6,37695,,,
2018,NV,Nevada,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),30.8,,,22.2,40.9,84464,,,
2018,NV,Nevada,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),26.1,,,16.9,38.1,38553,,,
2018,NH,New Hampshire,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),26.5,,,21.1,32.8,28858,,,
2018,NH,New Hampshire,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Hearing Disability,,,Yes,Age-adjusted Prevalence (%),27.2,,,16.3,41.8,11773,,,
2018,NH,New Hampshire,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Mobility Disability,,,Yes,Age-adjusted Prevalence (%),26.4,,,18.3,36.5,20959,,,
2018,NH,New Hampshire,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Vision Disability,,,Yes,Age-adjusted Prevalence (%),38.4,,,25.5,53.1,10806,,,
2018,NJ,New Jersey,Could Not See a Doctor Due to Cost in Past 12 Months,Barriers & Costs of Health Care,Disability Type,Cognitive Disability,,,Yes,Age-adjusted Prevalence (%),26.8,,,20,34.9,177138,,,
