NAME,state,county,Estimate!!Total
"Cortland County, New York",36,023,48123.0
"Jefferson County, New York",36,045,114448.0
"Oneida County, New York",36,065,230782.0
"Suffolk County, New York",36,103,1487901.0
"Wyoming County, New York",36,121,40565.0
"Chemung County, New York",36,015,85740.0
"Oswego County, New York",36,075,119104.0
"Otsego County, New York",36,077,60244.0
"Wayne County, New York",36,117,90856.0
"Albany County, New York",36,001,307426.0
"Broome County, New York",36,007,194402.0
"Erie County, New York",36,029,919866.0
"Madison County, New York",36,053,71359.0
"Sullivan County, New York",36,105,75211.0
"Mitchell County, North Carolina",37,121,15040.0
"Genesee County, New York",36,037,58112.0
"Orange County, New York",36,071,378227.0
"Greene County, North Carolina",37,079,21008.0
"Chowan County, North Carolina",37,041,14205.0
"Caldwell County, North Carolina",37,027,81779.0
"Catawba County, North Carolina",37,035,156729.0
"Craven County, North Carolina",37,049,103082.0
"Edgecombe County, North Carolina",37,065,53332.0
"Harnett County, North Carolina",37,085,130361.0
"Henderson County, North Carolina",37,089,113625.0
"Hyde County, North Carolina",37,095,5393.0
"Mecklenburg County, North Carolina",37,119,1054314.0
"Northampton County, North Carolina",37,131,20186.0
"Rowan County, North Carolina",37,159,139605.0
"Vance County, North Carolina",37,181,44482.0
"Currituck County, North Carolina",37,053,25796.0
"Union County, North Carolina",37,179,226694.0
"Forsyth County, North Carolina",37,067,371573.0
"Nash County, North Carolina",37,127,94003.0
"Bladen County, North Carolina",37,017,33778.0
"Dare County, North Carolina",37,055,35741.0
"Warren County, North Carolina",37,185,20033.0
"Wilson County, North Carolina",37,195,81336.0
"Bertie County, North Carolina",37,015,19644.0
"Gates County, North Carolina",37,073,11563.0
"Graham County, North Carolina",37,075,8557.0
"Martin County, North Carolina",37,117,23054.0
"Madison County, North Carolina",37,115,21405.0
"Pamlico County, North Carolina",37,137,12742.0
"Perquimans County, North Carolina",37,143,13459.0
"Polk County, North Carolina",37,149,20458.0
"Randolph County, North Carolina",37,151,142958.0
"Rockingham County, North Carolina",37,157,91270.0
"Stokes County, North Carolina",37,169,45905.0
"Washington County, North Carolina",37,187,12156.0
"Camden County, North Carolina",37,029,10447.0
"Clay County, North Carolina",37,043,10813.0
"Cumberland County, North Carolina",37,051,332106.0
"Gaston County, North Carolina",37,071,216585.0
"Guilford County, North Carolina",37,081,523582.0
"Jackson County, North Carolina",37,099,42256.0
"Moore County, North Carolina",37,125,95629.0
"Robeson County, North Carolina",37,155,133442.0
"Stanly County, North Carolina",37,167,61114.0
"Wake County, North Carolina",37,183,1046558.0
"Yancey County, North Carolina",37,199,17667.0
"Chatham County, North Carolina",37,037,69791.0
"McDowell County, North Carolina",37,111,45109.0
"Johnston County, North Carolina",37,101,191172.0
"Jones County, North Carolina",37,103,9695.0
"Person County, North Carolina",37,145,39305.0
"Brunswick County, North Carolina",37,019,126860.0
"Ashe County, North Carolina",37,009,26786.0
"Beaufort County, North Carolina",37,013,47243.0
"Lenoir County, North Carolina",37,107,57227.0
"Rutherford County, North Carolina",37,161,66532.0
"Lincoln County, North Carolina",37,109,81441.0
"Onslow County, North Carolina",37,133,193912.0
"Orange County, North Carolina",37,135,142938.0
"Sampson County, North Carolina",37,163,63561.0
"Yadkin County, North Carolina",37,197,37665.0
"Avery County, North Carolina",37,011,17501.0
"Burke County, North Carolina",37,023,89712.0
"Caswell County, North Carolina",37,033,22746.0
"Davie County, North Carolina",37,059,41991.0
"Duplin County, North Carolina",37,061,59062.0
"Durham County, North Carolina",37,063,306457.0
"Lee County, North Carolina",37,105,60125.0
"New Hanover County, North Carolina",37,129,224231.0
"Wayne County, North Carolina",37,191,124002.0
"Scotland County, North Carolina",37,165,35262.0
"Halifax County, North Carolina",37,083,51737.0
"Alamance County, North Carolina",37,001,160576.0
"Burke County, North Dakota",38,013,2213.0
"Mountrail County, North Dakota",38,061,10152.0
"Williams County, North Dakota",38,105,34061.0
"Billings County, North Dakota",38,007,946.0
"Kidder County, North Dakota",38,043,2460.0
"Cavalier County, North Dakota",38,019,3824.0
"Grant County, North Dakota",38,037,2380.0
"Pembina County, North Dakota",38,067,7016.0
"Steele County, North Dakota",38,091,1910.0
"Hettinger County, North Dakota",38,041,2576.0
"LaMoure County, North Dakota",38,045,4100.0
"Morton County, North Dakota",38,059,30544.0
"Cass County, North Dakota",38,017,174202.0
"Dunn County, North Dakota",38,025,4387.0
"Emmons County, North Dakota",38,029,3352.0
"McIntosh County, North Dakota",38,051,2654.0
"Nelson County, North Dakota",38,063,2920.0
"Richland County, North Dakota",38,077,16288.0
"Rolette County, North Dakota",38,079,14603.0
"Walsh County, North Dakota",38,099,10802.0
"Adams County, North Dakota",38,001,2351.0
"Bottineau County, North Dakota",38,009,6589.0
"Barnes County, North Dakota",38,003,10836.0
"Eddy County, North Dakota",38,027,2313.0
"Grand Forks County, North Dakota",38,035,70400.0
"McKenzie County, North Dakota",38,053,12536.0
"Mercer County, North Dakota",38,057,8570.0
"McLean County, North Dakota",38,055,9608.0
"Pierce County, North Dakota",38,069,4210.0
"Ransom County, North Dakota",38,073,5361.0
"Sioux County, North Dakota",38,085,4413.0
"Bowman County, North Dakota",38,011,3195.0
"Golden Valley County, North Dakota",38,033,1882.0
"Logan County, North Dakota",38,047,1927.0
