NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Iredell County, North Carolina",37,097,720.0,1948.0,218.0,20230.0,170787.0,2210.0,2283.0,10522.0,2329.0,150557.0,11467.0,8681.0,84953.0,12749.0,6964.0,23678.0,2065.0
"Pitt County, North Carolina",37,147,663.0,2523.0,291.0,40737.0,170510.0,3477.0,3425.0,26759.0,3599.0,129773.0,9267.0,8819.0,74842.0,9125.0,5839.0,20275.0,1606.0
"Cherokee County, North Carolina",37,039,202.0,907.0,116.0,4516.0,27293.0,301.0,345.0,2190.0,455.0,22777.0,1308.0,940.0,10185.0,1340.0,2042.0,6424.0,538.0
"Wilkes County, North Carolina",37,193,473.0,1653.0,267.0,13423.0,67389.0,1708.0,1125.0,6643.0,1554.0,53966.0,3131.0,2762.0,28131.0,3642.0,3948.0,11434.0,918.0
"Alexander County, North Carolina",37,003,301.0,451.0,108.0,5333.0,35748.0,720.0,503.0,2577.0,673.0,30415.0,1906.0,1702.0,16404.0,2008.0,1793.0,5984.0,618.0
"Carteret County, North Carolina",37,031,259.0,1190.0,80.0,7831.0,67559.0,670.0,620.0,4404.0,608.0,59728.0,3497.0,2798.0,29538.0,3842.0,4336.0,14337.0,1380.0
"Pasquotank County, North Carolina",37,139,290.0,855.0,64.0,5981.0,37045.0,743.0,669.0,2812.0,548.0,31064.0,2154.0,2356.0,17010.0,2173.0,1475.0,5351.0,545.0
"Swain County, North Carolina",37,173,110.0,309.0,57.0,2436.0,14061.0,250.0,320.0,1160.0,230.0,11625.0,915.0,660.0,6175.0,785.0,583.0,2303.0,204.0
"Anson County, North Carolina",37,007,200.0,652.0,54.0,4647.0,23469.0,529.0,579.0,2243.0,390.0,18822.0,1233.0,857.0,10574.0,1291.0,947.0,3531.0,389.0
"Franklin County, North Carolina",37,069,377.0,1032.0,115.0,9093.0,63272.0,857.0,1039.0,4536.0,1137.0,54179.0,3707.0,3318.0,29834.0,4361.0,2605.0,9714.0,640.0
